Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
10,2011,"The Representation of the People (Amendment) Bill, 2011 (Amendment of section 7, etc.).",LAW AND JUSTICE,Rajagopal Lagadapati Shri,11/03/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6355LS.pdf
15,2011,"The Abolition of Capital Punishment Bill, 2011",HOME AFFAIRS,Pradeep Tamta Shri,05/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6815LS.pdf
16,2011,"The Government Servants (Declaration of Assets and Investigation) Bill, 2011","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Pradeep Tamta Shri,05/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6964ls.pdf
20,2011,"The Indian Penal Code (Amendment) Bill, 2011 (Insertion of new sections 302A and 364B)",HOME AFFAIRS,Sushma Swaraj Smt.,05/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/7184ls.pdf
21,2011,"The Constitution (Amendment) Bill, 2011 (Amendment of articles 15 and 16)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",S. Semmalai Shri,05/08/2011,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/7136ls.pdf
23,2011,"The Intelligence Services (Powers and Regulation) Bill, 2011",HOME AFFAIRS,Manish Tewari Shri,05/08/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/7185LS.pdf
27,2011,"The Land Acquisition Bill, 2011",RURAL DEVELOPMENT,Jayant Chaudhary Shri,05/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2959ls.pdf
30,2011,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2011 (Amendment of the Schedule).",TRIBAL AFFAIRS,Hansraj Gangaram Ahir Shri,19/08/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/537ls.pdf
31,2011,"The Compulsory Military Training Bill, 2011.",DEFENCE,Adhir Ranjan Chowdhury Shri,19/08/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/585LS.pdf
32,2011,"The Nationalisation of Inter-State Rivers Bill, 2011.",WATER RESOURCES,Adhir Ranjan Chowdhury Shri,19/08/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/587LS.pdf
33,2011,"The Scheduled Castes and the Scheduled Tribes (Reservation in Posts and Services) Bill, 2011.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Arjun Ram Meghwal Shri,19/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/588LS.pdf
34,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new articles 16A and 29A)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Nishikant Dubey Shri,05/08/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/513LS.pdf
