Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
83,2009,"The Electricity (Compulsory Supply to Katras and Densely Populated Areas) Bill, 2009",POWER,Jai Prakash Agarwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3874ls.pdf
84,2009,"The Insurance Agents Welfare Bill, 2009",FINANCE,Basudeb Acharia Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3943LS.pdf
85,2009,"The Forest (Conservation) Amendment Bill, 2009 (Insertion of new sections 3C and 3D)",ENVIRONMENT AND FORESTS,Satpal Maharaj Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3995ls.pdf
86,2009,"The Payment of Gratuity (Amendment) Bill, 2009 (Amendment of section 4)",LABOUR AND EMPLOYMENT,P. T. Thomas Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3942ls.pdf
87,2009,"The Integrated Child Development Services (Regularisation) Bill, 2009",WOMEN AND CHILD DEVELOPMENT,Arjun Ram Meghwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3873LS.pdf
88,2009,"The Domestic Workers (Conditions of Service) Bill, 2009",LABOUR AND EMPLOYMENT,Arjun Ram Meghwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4084LS.pdf
89,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 1)",HOME AFFAIRS,Yogi Adityanath Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3910ls.pdf
90,2009,"The Prevention of Insults to National Honour (Amendment) Bill, 2009 (Insertion of new section 4)",HOME AFFAIRS,Jai Prakash Agarwal Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4003ls.pdf
91,2009,"The Special Financial Assistance to the State of Jharkhand Bill, 2009",FINANCE,Inder Singh Namdhari Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3996LS.pdf
92,2009,"The Constitution (Amendment) Bill, 2009 (Insertion of new article 371J)",LAW AND JUSTICE,Inder Singh Namdhari Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4201lsE.pdf
93,2009,"The Special Financial Assistance to the State of Rajasthan Bill, 2009",FINANCE,Arjun Ram Meghwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3997LS.pdf
94,2009,"The Rainwater (Compulsory Harvesting) Bill, 2009",WATER RESOURCES,Arjun Ram Meghwal Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3998ls.pdf
95,2009,"The Child Welfare Bill, 2009",WOMEN AND CHILD DEVELOPMENT,Adhir Ranjan Chowdhury Shri,04/12/2009,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4404ls.pdf
96,2009,"The Abolition of Death Penalty to Women, Children and Indigent Persons Bill, 2009",HOME AFFAIRS,Adhir Ranjan Chowdhury Shri,04/12/2009,Ordinary Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4403LS.pdf
98,2009,"The Constitution (Amendment) Bill, 2009 (Insertion of new article 25A)",HOME AFFAIRS,Yogi Adityanath Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4441ls.pdf
103,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Om Prakash Yadav Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5106LS.pdf
104,2009,"The Constitution (Amendment) Bill, 2009 (Insertion of new articles 275A and 371J)",FINANCE,Ranjan Prasad Yadav Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4623lsE.pdf
105,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 48)",AGRICULTURE,Shailendra Kumar Shri,04/12/2009,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4622LS.pdf
108,2009,"The Poor and Destitute Agricultural Workers and Artisans (Welfare) Bill, 2009",LABOUR AND EMPLOYMENT,Shailendra Kumar Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4715LS.pdf
110,2009,"The Street Children (Rehabilitation and Welfare) Bill, 2009",WOMEN AND CHILD DEVELOPMENT,Shailendra Kumar Shri,04/12/2009,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4772LS.pdf
115,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 253)",EXTERNAL AFFAIRS,Prabodh Panda Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4976LS.pdf
117,2009,"The Constitution (Amendment) Bill, 2009 (Amendment of article 243A)",PANCHAYATI RAJ,Raghuvansh Prasad Singh Dr.,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4977LS.pdf
119,2009,"The Deposit Insurance and Credit Guarantee Corporation (Amendment) Bill, 2009 (Amendment of section 21)",FINANCE,Sumitra Mahajan Smt.,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5119LS.pdf
120,2009,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2009 (Amendment of section 2)",TRIBAL AFFAIRS,Hansraj Gangaram Ahir Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5025LS.pdf
121,2009,"The Prohibition on Use of Caste or Religious Title Bill, 2009",HOME AFFAIRS,Rajagopal Lagadapati Shri,30/04/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5068LS.pdf
122,2009,"The Forest (Conservation) Amendment Bill, 2009 (Insertion of new section 3C)",ENVIRONMENT AND FORESTS,Hansraj Gangaram Ahir Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5026LS.pdf
123,2009,"The Sculptors, Artists and Artisans of Rural Areas Welfare Bill, 2009",RURAL DEVELOPMENT,Gangasandra Siddappa Basavaraj Shri,13/08/2010,Financial Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5108LS.pdf
124,2009,"The Cotton Growers (Remunerative Price and Welfare) Bill, 2009",AGRICULTURE,Hansraj Gangaram Ahir Shri,05/03/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5021LS.pdf
125,2009,"The Flood Control Bill, 2009",WATER RESOURCES,Gangasandra Siddappa Basavaraj Shri,13/08/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5022LS.pdf
126,2009,"The Special Financial Assistance to the State of Uttarakhand Bill, 2009",FINANCE,K.C. Singh Baba Shri,05/03/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5023LS.pdf
127,2009,"The Indian Medical Council (Amendment) Bill, 2009 (Insertion of new section 23A)",HEALTH AND FAMILY WELFARE,Feroze Varun Gandhi Shri,30/04/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5024LS.pdf
128,2009,"The Meritorious Students (Assistance in Higher Studies) Bill, 2009",HUMAN RESOURCE DEVELOPMENT,K.C. Singh Baba Shri,05/03/2010,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5067LS.pdf
134,2009,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2009 (Amendment of the Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,K.C. Singh Baba Shri,05/03/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5239ls.pdf
137,2009,"The Two Child Norm Bill, 2009",HEALTH AND FAMILY WELFARE,Supriya Sule,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5293ls.pdf
138,2009,"The Compulsory Registration of Marriages Bill, 2009",LAW AND JUSTICE,Supriya Sule,30/04/2010,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1613LS.pdf
1,2008,"The Constitution (Amendment) Bill, 2008 (Insertion of new article 45A)",WOMEN AND CHILD DEVELOPMENT,C.K. Chandrappan Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/154ls-02.pdf
2,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of the Eleventh Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,C.K. Chandrappan Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/155ls-18.pdf
3,2008,"The Constitution (Scheduled Tribes) Orders (Amendment) Bill, 2008",TRIBAL AFFAIRS,Harisingh Nasaru Rathod Shri,25/04/2008,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/159ls-15.pdf
4,2008,"The Sculptors, Artists and Artisans of Rural Areas Welfare Bill, 2008",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/152LS-7.pdf
5,2008,"The Commission for the Formation of State of Vidarbha Bill, 2008",HOME AFFAIRS,Hansraj Gangaram Ahir Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/153ls-8.pdf
6,2008,"The Cotton Growers (Remunerative Price and Welfare) Bill, 2008",TEXTILES,Hansraj Gangaram Ahir Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/156LS-10.pdf
7,2008,"The Working Elephants (Protection and Welfare) Bill, 2008",ENVIRONMENT AND FORESTS,C.K. Chandrappan Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/157ls-12.pdf
8,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of article 15, etc.)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Harisingh Nasaru Rathod Shri,25/04/2008,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/161ls-16.pdf
9,2008,"The Minimum Wages (Amendment) Bill, 2008 (Amendment of section 3)",LABOUR AND EMPLOYMENT,Prabodh Panda Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/151ls-14.pdf
10,2008,"The Disruption of Proceedings of Parliament (Disentitlement of Daily Allowance to Members and Termination of Membership) Bill, 2008",PARLIAMENTARY AFFAIRS,Rajagopal Lagadapati Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/158ls-4.pdf
11,2008,"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2008",LAW AND JUSTICE,C.K. Chandrappan Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/221ls-17.pdf
12,2008,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2008 (Amendment of the Schedule)",TRIBAL AFFAIRS,Avtar Singh Bhadana Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/160ls-13.pdf
13,2008,"The Anganwadi Workers (Regularisation of Service and Other Benefits) Bill, 2008",WOMEN AND CHILD DEVELOPMENT,Hansraj Gangaram Ahir Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/291ls-9.pdf
14,2008,"The National Rural Employment Guarantee (Amendment) Bill, 2008 (Amendment of section 2, etc.)",RURAL DEVELOPMENT,Hansraj Gangaram Ahir Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/283ls-01.pdf
15,2008,"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2008 (Amendment of section 2, etc.)",FINANCE,Laxminarayan Pandey Dr.,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/292LS-19.pdf
16,2008,"The Domestic Workers (Conditions of Service) Bill, 2008",LABOUR AND EMPLOYMENT,Mohan Singh Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/320ls-20.pdf
20,2008,"The Flood Control Bill, 2008",WATER RESOURCES,Mohan Singh Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/442ls-21.pdf
24,2008,"The Entrance Examinations (Abolition) Bill, 2008",HUMAN RESOURCE DEVELOPMENT,Raman Senthil Dr.,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/635LS-03.pdf
25,2008,"The Uniform Syllabus (High School and Higher Secondary School Level) Bill, 2008",HUMAN RESOURCE DEVELOPMENT,Raman Senthil Dr.,12/12/2008,Financial Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/631ls-04.pdf
26,2008,"The National Minimum Pension (Guarantee) Bill, 2008","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",C.K. Chandrappan Shri,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/695LS-11.pdf
35,2008,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2008 (Amendment of section 2)",TRIBAL AFFAIRS,Rajagopal Lagadapati Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1035ls-24.pdf
36,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of the Seventh Schedule)",AGRICULTURE,Anant Kumar Hegde Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1034LS-26.pdf
37,2008,"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 2008",SOCIAL JUSTICE AND EMPOWERMENT,K.S. Manoj Dr.,25/04/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1302ls-25.pdf
38,2008,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2008 (Amendment of sections 2 and 6)",TRIBAL AFFAIRS,Anant Kumar Hegde Shri,25/04/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1205LS-27.pdf
43,2008,"The States and Union Territories Reorganisation Commission Bill, 2008",HOME AFFAIRS,Balasaheb Vikhe Patil Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2331ls-05.pdf
44,2008,"The Delivery of Books and Newspapers (Public Libraries) Amendment Bill, 2008 (Amendment of section 2, etc.)",CULTURE,Mohan Singh Shri,13/02/2009,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2332ls-02.pdf
46,2008,"The Indian Penal Code (Amendment) Bill, 2008 (Amendment of section 304A, etc.)",HOME AFFAIRS,Kashi Ram Rana Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2673LS-07.pdf
47,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of the Seventh Schedule)",HOME AFFAIRS,Kashi Ram Rana Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2743ls-08.pdf
48,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of Part IVA)",LAW AND JUSTICE,Mohan Singh Shri,13/02/2009,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2341ls-01.pdf
49,2008,"The Electricity (Repeal) Bill, 2008",POWER,C.K. Chandrappan Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2865ls-09.pdf
50,2008,"The Palliative Care (Education and Training) Bill, 2008",HEALTH AND FAMILY WELFARE,C.K. Chandrappan Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2866ls-10.pdf
52,2008,"The Constitution (Amendment) Bill, 2008 (Amendment of article 130)",LAW AND JUSTICE,Hansraj Gangaram Ahir Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3039ls-11.pdf
53,2008,"The Constitution (Amendment) Bill, 2008 (Insertion of new article 279A)",FINANCE,Kashi Ram Rana Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3186LS-06.pdf
58,2008,"The Abolition of Death Penalty to Women, Children and Indigent Persons Bill, 2008",HOME AFFAIRS,Mohan Singh Shri,13/02/2009,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3352ls-03.pdf
59,2008,"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2008 (Amendment of section 2)",TRIBAL AFFAIRS,Hansraj Gangaram Ahir Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3305ls-12.pdf
72,2008,"The Commission of Sati (Prevention) Amendment Bill, 2008 (Amendment of section 2, etc.)",WOMEN AND CHILD DEVELOPMENT,Rajagopal Lagadapati Shri,13/02/2009,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3951ls-04.pdf
73,2008,"The Treatment of Attempt to Suicide as a Non-Punishable Offence Bill, 2008",HOME AFFAIRS,C.K. Chandrappan Shri,12/12/2008,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4002ls-13.pdf
1,2007,"The Right to Work Bill, 2007",LABOUR AND EMPLOYMENT,Mohan Singh Shri,24/08/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1.pdf
2,2007,"The National Commission for Small and Tiny Industries Bill, 2007",SMALL SCALE INDUSTRIES,Kavuru Samba Siva Rao Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/b.pdf
3,2007,"The Widows’ Welfare Bill, 2007",WOMEN AND CHILD DEVELOPMENT,Shivaji Adhalrao Patil Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/h.pdf
4,2007,"The Constitution (Andaman and Nicobar Islands) Scheduled Tribes Order (Amendment) Bill, 2007 (Amendment of the Schedule)",TRIBAL AFFAIRS,Basudeb Acharia Shri,24/08/2007,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4.pdf
5,2007,"The Basic and Primary Education (Compulsory Teaching in Mother Tongue) Bill, 2007",HUMAN RESOURCE DEVELOPMENT,Maha Deo Rao Shiwankar Shri,24/08/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/5.pdf
6,2007,"The Constitution (Amendment) Bill, 2007 (Amendment of the Seventh Schedule)",AGRICULTURE,Ingrid Mcleod Smt.,04/05/2007,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/n.pdf
7,2007,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2007 (Amendment of the Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,K.C. Singh Baba Shri,04/05/2007,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/j.pdf
8,2007,"The Constitution (Amendment) Bill, 2007 (Insertion of new article 21B)",HEALTH AND FAMILY WELFARE,Kavuru Samba Siva Rao Shri,04/05/2007,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/c.pdf
9,2007,"The Tourism Promotion Corporation of India Bill, 2007",TOURISM,Kalva Kuntla Chandrasekhar Rao Shri,04/05/2007,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/a.pdf
10,2007,"The Renewable Energy Resources Commission Bill, 2007",NON-CONVENTIONAL ENERGY SOURCES,Kavuru Samba Siva Rao Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/d.pdf
11,2007,"The Provision of Communication Facilities in Every Village Bill, 2007",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Ramdas Athawale Shri,24/08/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/10.pdf
12,2007,"The Widows (Protection and Maintenance) Bill, 2007",WOMEN AND CHILD DEVELOPMENT,Maha Deo Rao Shiwankar Shri,24/08/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/7.pdf
13,2007,"The National Information Technology Commission Bill, 2007",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Shivaji Adhalrao Patil Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/e.pdf
14,2007,"The Farmers Welfare Fund Bill, 2007",AGRICULTURE,Shivaji Adhalrao Patil Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/f.pdf
15,2007,"The Child Development Bill, 2007",WOMEN AND CHILD DEVELOPMENT,Archana Nayak Smt.,24/08/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2.pdf
16,2007,"The Constitution (Amendment) Bill, 2007 (Insertion of new articles 16A and 16AA, etc.)",LABOUR AND EMPLOYMENT,Suravaram Sudhakar Reddy Shri,04/05/2007,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/i.pdf
